"YEAR","geography","arrest_dirc","arrest_simp","arrest_wt","jail_dirc","jail_simp","jail_wt"
2007,"small/mid",5076.19536071469,4595.15300489308,5076.19536071469,4915.0387823434,5094.9521232649,4915.0387823434
2007,"suburb",3671.39518375616,4038.78903920588,3671.39518375616,3167.6657029471,5089.87323541363,3167.6657029471
2007,"urban",4325.3986400197,5183.31727736938,4325.3986400197,3583.54917033977,4975.34012600772,3583.54917033977
2008,"rural",4277.73914391627,3683.44873297149,4277.73914391627,5322.58452229412,5490.05724758171,5322.58452229412
2008,"small/mid",4911.51810119536,4366.1246437451,4911.51810119536,5011.51697140306,5145.393023229,5011.51697140306
2008,"suburb",3501.13148090092,3824.10662589537,3501.13148090092,3255.67522450737,5363.42764939548,3255.67522450737
2008,"urban",4286.8733390241,5148.81586456363,4286.8733390241,3580.98789815156,5011.70813804264,3580.98789815156
2009,"rural",4247.70496160954,3679.31501897462,4247.70496160954,5362.59578452163,5571.15511144152,5362.59578452163
2009,"small/mid",4803.35994810532,4286.0718548104,4803.35994810532,4790.31999721207,5010.54072764789,4790.31999721207
2009,"suburb",3421.36880567056,3748.00746969774,3421.36880567056,3177.24026656723,4870.56667673983,3177.24026656723
2009,"urban",4186.20301497607,5026.96414727714,4186.20301497607,3319.51251425274,4744.36538786578,3319.51251425274
2010,"rural",4012.46371280866,3472.11710643371,4012.46371280866,5328.38499575893,5556.92146692547,5328.38499575893
2010,"small/mid",4488.62858859477,4036.06922949286,4488.62858859477,4494.42042048416,4795.61109830783,4494.42042048416
2010,"suburb",3289.40809322949,3575.29289971812,3289.40809322949,3028.34919672998,4876.34708950601,3028.34919672998
2010,"urban",3967.13357042965,4884.69527831803,3967.13357042965,3167.54974117866,4308.94710706368,3167.54974117866
2011,"rural",4044.65416989393,3486.60043446024,4044.65416989393,5300.16693720302,5631.62128265692,5300.16693720302
2011,"small/mid",4382.51691674776,4033.31868864023,4382.51691674776,4404.73216387994,4668.19750976464,4404.73216387994
2011,"suburb",3291.47125278569,3608.38300477465,3291.47125278569,3023.22306719304,4943.02877164651,3023.22306719304
2011,"urban",3846.55742567445,4757.61772116638,3846.55742567445,2999.54487157618,3939.93657792913,2999.54487157617
2012,"rural",3726.19109037399,3243.48701690958,3726.19109037399,5337.88426863501,5780.29180635317,5337.88426863501
2012,"small/mid",4123.89145827885,3757.65873947953,4123.89145827885,4377.69584689112,4690.89908586427,4377.69584689112
2012,"suburb",3019.74809025292,3261.52593763112,3019.74809025292,2934.01052510561,4816.48572207185,2934.01052510561
2012,"urban",3535.90243331483,4354.48256206062,3535.90243331483,2935.23608868987,3946.71192045761,2935.23608868987
2013,"rural",3754.43858297219,3275.27530766993,3754.43858297219,5385.12475264889,5855.77081809219,5385.12475264889
2013,"small/mid",4092.58019161788,3781.19716494696,4092.58019161788,4337.43904492144,4671.04477711363,4337.43904492144
2013,"suburb",3035.4731877762,3324.38272922982,3035.4731877762,2672.04766501035,4724.75968288657,2672.04766501035
2013,"urban",3304.29744531565,4174.67850843414,3304.29744531565,3049.99009542262,3913.44078437148,3049.99009542262
2014,"rural",3549.77935624076,3144.57664900537,3549.77935624076,5326.15511995294,5757.56594905796,5326.15511995294
2014,"small/mid",3863.89613366645,3558.95214682945,3863.89613366645,4248.63856266865,4635.00948302753,4248.63856266865
2014,"suburb",2929.08717353262,3186.66951860216,2929.08717353262,2912.97688963229,4729.83644689848,2912.97688963229
2014,"urban",3049.86271503111,3783.31463484552,3049.86271503111,2745.44620583802,3555.44595521951,2745.44620583802
